scan_stamp,callback_now,tf_stamp,dt_scan_tf,dt_scan_now,pending_age,d,sonar_tx,sonar_ty,sonar_tz,sonar_qx,sonar_qy,sonar_qz,sonar_qw,wx,wy,wz,j_xm540_joint_z,j_xm540_joint,j_joint_boat_x,j_joint_boat_y,js_stamp
1777067492.681652,1777067492.7228677,1777067492.681652,0.0,0.04121565818786621,0.003398147993721068,2.1306111812591553,5.023911941437752e-07,-0.008000861089861573,-0.32449997876921816,0.7071071394477805,-9.39450414604252e-07,-0.7071064229238884,9.369209240463545e-07,2.661377431363886e-06,-0.008006514857953489,-2.4551111600197784,3.5785843177649213e-09,-6.297508736707869e-09,5.348230538992915e-11,-6.5020734708980816e-18,1777067492.681652
1777067492.7605011,1777067492.806367,1777067492.7605011,0.0,0.045865774154663086,0.041248925001127645,2.1306111812591553,5.016074195132169e-07,-0.008000861089863382,-0.3244999787692213,0.7071071372229766,-9.407151478400985e-07,-0.7071064251486944,9.35656192076163e-07,2.6471863528341393e-06,-0.008006514857962926,-2.4551111600197943,7.155779968570641e-09,-1.259021242816516e-08,1.6042565886831284e-10,-1.9700116924950656e-17,1777067492.7605011
1777067492.8181798,1777067492.85541,1777067492.8181798,0.0,0.03723025321960449,0.03382955900451634,2.1306111812591553,4.999348486863786e-07,-0.008000861089866968,-0.3244999787692276,0.7071071327784613,-9.432431514253249e-07,-0.7071064295932141,9.331281909731155e-07,2.6187298614748926e-06,-0.00800651485798147,-2.455111160019828,1.4306033691013909e-08,-2.5161215333469045e-08,2.672843057993646e-10,-3.524334025191203e-17,1777067492.8181798
1777067492.95201,1777067493.0052404,1777067492.95201,0.0,0.05323052406311035,0.04982429700612556,2.1306111812591553,4.990995338322035e-07,-0.008000861089868748,-0.3244999787692307,0.7071071305587472,-9.44506416200904e-07,-0.7071064318129303,9.318649274141075e-07,2.6045179150851396e-06,-0.00800651485799058,-2.455111160019844,1.7879075997484506e-08,-3.1439522985010626e-08,3.206819254586435e-10,-4.487422728492408e-17,1777067492.95201
1777067493.0252023,1777067493.0556018,1777067493.0252023,0.0,0.030399560928344727,0.026983944000676274,2.1306111812591553,4.957647346542911e-07,-0.008000861089875801,-0.3244999787692432,0.7071071216968235,-9.495546010043407e-07,-0.7071064406748625,9.268167473141853e-07,2.547778629992243e-06,-0.008006514858025978,-2.4551111600199094,3.215745891793631e-08,-5.650485945807304e-08,5.340608510984168e-10,-1.0491352731669724e-16,1777067493.0252023
1777067493.0904665,1777067493.1053617,1777067493.0904665,0.0,0.014895200729370117,0.010686096000426915,2.1306111812591553,4.924402457721072e-07,-0.008000861089882814,-0.32449997876925557,0.7071071128619241,-9.545949847949838e-07,-0.7071064495097702,9.21776367967924e-07,2.4912125114707455e-06,-0.008006514858059775,-2.4551111600199724,4.6413777710085924e-08,-8.149375929633607e-08,7.471018248494943e-10,-2.180791407731215e-16,1777067493.0904665
1777067493.1433616,1777067493.155416,1777067493.1433616,0.0,0.012054443359375,0.008268113000667654,2.1306111812591553,4.899536282126906e-07,-0.008000861089888053,-0.32449997876926473,0.707107106253438,-9.5837014178185e-07,-0.7071064561182623,9.180012141453237e-07,2.4489012686598305e-06,-0.008006514858084082,-2.4551111600200177,5.7091504856998654e-08,-1.0018540308465163e-07,9.066612460806311e-10,-3.527640762407945e-16,1777067493.1433616
1777067493.1939492,1777067493.2055268,1777067493.1939492,0.0,0.011577606201171875,0.0043425800031400286,2.1306111812591553,4.874727689319056e-07,-0.008000861089893292,-0.3244999787692738,0.7071070996600473,-9.621409363317831e-07,-0.7071064627116588,9.142304226156214e-07,2.4066867533224374e-06,-0.008006514858107522,-2.4551111600200635,6.775689342930491e-08,-1.1883435035997536e-07,1.0660309301968596e-09,-5.41742103091794e-16,1777067493.1939492
1777067493.247578,1777067493.255306,1777067493.247578,0.0,0.007728099822998047,0.002531240003008861,2.1306111812591553,4.849976730216793e-07,-0.008000861089898519,-0.3244999787692828,0.7071070930817597,-9.659073445797213e-07,-0.707106469289952,9.104640172445871e-07,2.364569017386475e-06,-0.008006514858130085,-2.455111160020108,7.84098759254448e-08,-1.374405798060252e-07,1.2252122649769603e-09,-7.954103654652094e-16,1777067493.247578
1777067493.303602,1777067493.3552952,1777067493.303602,0.0,0.05169320106506348,0.048193335001997184,2.1306111812591553,4.825283129252769e-07,-0.00800086108990377,-0.3244999787692918,0.7071070865185096,-9.696693841111554e-07,-0.7071064758532076,9.067019804474668e-07,2.3225476380279123e-06,-0.008006514858151815,-2.4551111600201514,8.905050208340981e-08,-1.5600427616391244e-07,1.3842035295752453e-09,-1.1241311997399537e-15,1777067493.303602
1777067493.3688037,1777067493.4057572,1777067493.3688037,0.0,0.03695344924926758,0.033075901003030594,2.1306111812591553,4.792447478948444e-07,-0.008000861089910811,-0.32449997876930364,0.7071070777908758,-9.746786455052053e-07,-0.7071064845808482,9.016927224786106e-07,2.2666688607955994e-06,-0.008006514858179497,-2.4551111600202082,1.0321879528873978e-07,-1.8068978135943325e-07,1.5958990795539307e-09,-1.697009757516783e-15,1777067493.3688037
1777067493.418953,1777067493.4553826,1777067493.418953,0.0,0.036429643630981445,0.03299348899599863,2.1306111812591553,4.7678871800948786e-07,-0.008000861089916147,-0.3244999787693124,0.7071070712625691,-9.784305332355337e-07,-0.7071064911091598,8.979408371527122e-07,2.224871392369203e-06,-0.008006514858199323,-2.4551111600202495,1.1383070841475273e-07,-1.9915464122277626e-07,1.7544503627675567e-09,-2.240934293936737e-15,1777067493.418953
