idx,world_x,world_y,world_z
0,-460.2484,221.3033,0.0000
1,-460.1984,221.3033,0.0000
2,-460.1484,221.3033,0.0000
3,-460.0984,221.3033,0.0000
4,-460.0484,221.3033,0.0000
5,-459.9984,221.3033,0.0000
6,-459.9484,221.3033,0.0000
7,-459.8984,221.3033,0.0000
8,-459.8484,221.3033,0.0000
9,-459.7984,221.3033,0.0000
10,-459.7484,221.3033,0.0000
11,-459.6984,221.3033,0.0000
12,-459.6484,221.3033,0.0000
13,-459.5984,221.3033,0.0000
14,-459.5484,221.3033,0.0000
15,-459.4984,221.3033,0.0000
16,-459.4484,221.3033,0.0000
17,-459.3984,221.3033,0.0000
18,-459.3484,221.3033,0.0000
19,-459.2984,221.3033,0.0000
20,-459.2484,221.3033,0.0000
21,-459.1984,221.3033,0.0000
22,-459.1484,221.3033,0.0000
23,-459.0984,221.3033,0.0000
24,-459.0484,221.3033,0.0000
25,-458.9984,221.3033,0.0000
26,-458.9484,221.3033,0.0000
27,-458.8984,221.3033,0.0000
28,-458.8484,221.3033,0.0000
29,-458.7984,221.3033,0.0000
30,-458.7484,221.3033,0.0000
31,-458.6984,221.3033,0.0000
32,-458.6484,221.3033,0.0000
33,-458.5984,221.3033,0.0000
34,-458.5484,221.3033,0.0000
35,-458.4984,221.3033,0.0000
36,-458.4484,221.3033,0.0000
37,-458.3984,221.3033,0.0000
38,-458.3484,221.3033,0.0000
39,-458.2984,221.3033,0.0000
40,-458.2484,221.3033,0.0000
41,-458.1984,221.3033,0.0000
42,-458.1484,221.3033,0.0000
43,-458.0984,221.3033,0.0000
44,-458.0484,221.3033,0.0000
45,-457.9984,221.3033,0.0000
46,-457.9484,221.3033,0.0000
47,-457.8984,221.3033,0.0000
48,-457.8484,221.3033,0.0000
49,-457.7984,221.3033,0.0000
50,-457.7484,221.3033,0.0000
51,-457.6984,221.3033,0.0000
52,-457.6484,221.3033,0.0000
53,-457.5984,221.3033,0.0000
54,-457.5484,221.3033,0.0000
55,-457.4984,221.3033,0.0000
56,-457.4484,221.3033,0.0000
57,-457.3984,221.3033,0.0000
58,-457.3484,221.3033,0.0000
59,-457.2984,221.3033,0.0000
60,-457.2484,221.3033,0.0000
61,-457.1984,221.3033,0.0000
62,-457.1484,221.3033,0.0000
63,-457.0984,221.3033,0.0000
64,-457.0484,221.3033,0.0000
65,-456.9984,221.3033,0.0000
66,-456.9484,221.3033,0.0000
67,-456.8984,221.3033,0.0000
68,-456.8484,221.3033,0.0000
69,-456.7984,221.3033,0.0000
70,-456.7484,221.3033,0.0000
71,-456.6984,221.3033,0.0000
72,-456.6484,221.3033,0.0000
73,-456.5984,221.3033,0.0000
74,-456.5484,221.3033,0.0000
75,-456.4984,221.3033,0.0000
76,-456.4484,221.3033,0.0000
77,-456.3984,221.3033,0.0000
78,-456.3484,221.3033,0.0000
79,-456.2984,221.3033,0.0000
80,-456.2484,221.3033,0.0000
81,-456.1984,221.3033,0.0000
82,-456.1484,221.3033,0.0000
83,-456.0984,221.3033,0.0000
84,-456.0484,221.3033,0.0000
85,-455.9984,221.3033,0.0000
86,-455.9484,221.3033,0.0000
87,-455.8984,221.3033,0.0000
88,-455.8484,221.3033,0.0000
89,-455.7984,221.3033,0.0000
90,-455.7484,221.3033,0.0000
91,-455.6984,221.3033,0.0000
92,-455.6484,221.3033,0.0000
93,-455.5984,221.3033,0.0000
94,-455.5484,221.3033,0.0000
