idx,world_x,world_y,world_z
0,-284.5321,149.4584,0.0000
1,-284.5321,138.3224,0.0000
2,-284.5321,127.1863,0.0000
3,-284.5321,116.0503,0.0000
4,-284.5321,104.9142,0.0000
5,-284.5321,93.7782,0.0000
6,-273.3960,93.7782,0.0000
7,-273.3960,104.9142,0.0000
8,-273.3960,116.0503,0.0000
9,-273.3960,127.1863,0.0000
10,-273.3960,138.3224,0.0000
11,-273.3960,149.4584,0.0000
12,-273.3960,160.5944,0.0000
13,-273.3960,171.7305,0.0000
14,-262.2600,216.2747,0.0000
15,-262.2600,205.1386,0.0000
16,-262.2600,194.0026,0.0000
17,-262.2600,182.8665,0.0000
18,-262.2600,171.7305,0.0000
19,-262.2600,160.5944,0.0000
20,-262.2600,149.4584,0.0000
21,-262.2600,138.3224,0.0000
22,-262.2600,127.1863,0.0000
23,-262.2600,116.0503,0.0000
24,-262.2600,104.9142,0.0000
25,-262.2600,93.7782,0.0000
26,-251.1240,82.6421,0.0000
27,-251.1240,93.7782,0.0000
28,-251.1240,104.9142,0.0000
29,-251.1240,116.0503,0.0000
30,-251.1240,127.1863,0.0000
31,-251.1240,138.3224,0.0000
32,-251.1240,149.4584,0.0000
33,-251.1240,160.5944,0.0000
34,-251.1240,171.7305,0.0000
35,-251.1240,182.8665,0.0000
36,-251.1240,194.0026,0.0000
37,-251.1240,205.1386,0.0000
38,-251.1240,216.2747,0.0000
39,-239.9879,238.5467,0.0000
40,-239.9879,227.4107,0.0000
41,-239.9879,216.2747,0.0000
42,-239.9879,205.1386,0.0000
43,-239.9879,194.0026,0.0000
44,-239.9879,182.8665,0.0000
45,-239.9879,171.7305,0.0000
46,-239.9879,160.5944,0.0000
47,-239.9879,149.4584,0.0000
48,-239.9879,138.3224,0.0000
49,-239.9879,127.1863,0.0000
50,-239.9879,116.0503,0.0000
51,-239.9879,104.9142,0.0000
52,-239.9879,93.7782,0.0000
53,-239.9879,82.6421,0.0000
54,-228.8519,71.5061,0.0000
55,-228.8519,82.6421,0.0000
56,-228.8519,93.7782,0.0000
57,-228.8519,104.9142,0.0000
58,-228.8519,116.0503,0.0000
59,-228.8519,127.1863,0.0000
60,-228.8519,138.3224,0.0000
61,-228.8519,149.4584,0.0000
62,-228.8519,160.5944,0.0000
63,-228.8519,171.7305,0.0000
64,-228.8519,182.8665,0.0000
65,-228.8519,194.0026,0.0000
66,-228.8519,205.1386,0.0000
67,-228.8519,216.2747,0.0000
68,-228.8519,227.4107,0.0000
69,-217.7158,238.5467,0.0000
70,-217.7158,227.4107,0.0000
71,-217.7158,216.2747,0.0000
72,-217.7158,205.1386,0.0000
73,-217.7158,194.0026,0.0000
74,-217.7158,182.8665,0.0000
75,-217.7158,171.7305,0.0000
76,-217.7158,160.5944,0.0000
77,-217.7158,149.4584,0.0000
78,-217.7158,138.3224,0.0000
79,-217.7158,127.1863,0.0000
80,-217.7158,116.0503,0.0000
81,-217.7158,104.9142,0.0000
82,-217.7158,93.7782,0.0000
83,-217.7158,82.6421,0.0000
84,-217.7158,71.5061,0.0000
85,-206.5798,71.5061,0.0000
86,-206.5798,82.6421,0.0000
87,-206.5798,93.7782,0.0000
88,-206.5798,104.9142,0.0000
89,-206.5798,116.0503,0.0000
90,-206.5798,127.1863,0.0000
91,-206.5798,138.3224,0.0000
92,-206.5798,149.4584,0.0000
93,-206.5798,160.5944,0.0000
94,-206.5798,171.7305,0.0000
95,-206.5798,182.8665,0.0000
96,-206.5798,194.0026,0.0000
97,-206.5798,205.1386,0.0000
98,-206.5798,216.2747,0.0000
99,-206.5798,227.4107,0.0000
100,-206.5798,238.5467,0.0000
101,-195.4437,238.5467,0.0000
102,-195.4437,227.4107,0.0000
103,-195.4437,216.2747,0.0000
104,-195.4437,205.1386,0.0000
105,-195.4437,194.0026,0.0000
106,-195.4437,182.8665,0.0000
107,-195.4437,171.7305,0.0000
108,-195.4437,160.5944,0.0000
109,-195.4437,149.4584,0.0000
110,-195.4437,138.3224,0.0000
111,-195.4437,127.1863,0.0000
112,-195.4437,116.0503,0.0000
113,-195.4437,104.9142,0.0000
114,-195.4437,93.7782,0.0000
115,-195.4437,82.6421,0.0000
116,-195.4437,71.5061,0.0000
117,-195.4437,60.3701,0.0000
118,-184.3077,60.3701,0.0000
