idx,world_x,world_y,world_z
0,-28.7600,14.1615,0.0000
1,-28.7600,13.6615,0.0000
2,-28.7600,13.1615,0.0000
3,-28.7600,12.6615,0.0000
4,-28.7600,12.1615,0.0000
5,-28.7600,11.6615,0.0000
6,-28.7600,11.1615,0.0000
7,-28.7600,10.6615,0.0000
8,-28.7600,10.1615,0.0000
9,-28.2600,9.1615,0.0000
10,-28.2600,9.6615,0.0000
11,-28.2600,10.1615,0.0000
12,-28.2600,10.6615,0.0000
13,-28.2600,11.1615,0.0000
14,-28.2600,11.6615,0.0000
15,-28.2600,12.1615,0.0000
16,-28.2600,12.6615,0.0000
17,-28.2600,13.1615,0.0000
18,-28.2600,13.6615,0.0000
19,-28.2600,14.1615,0.0000
20,-27.7600,16.6615,0.0000
21,-27.7600,16.1615,0.0000
22,-27.7600,15.6615,0.0000
23,-27.7600,15.1615,0.0000
24,-27.7600,14.6615,0.0000
25,-27.7600,14.1615,0.0000
26,-27.7600,13.6615,0.0000
27,-27.7600,13.1615,0.0000
28,-27.7600,12.6615,0.0000
29,-27.7600,12.1615,0.0000
30,-27.7600,11.6615,0.0000
31,-27.7600,11.1615,0.0000
32,-27.7600,10.6615,0.0000
33,-27.7600,10.1615,0.0000
34,-27.7600,9.6615,0.0000
35,-27.7600,9.1615,0.0000
36,-27.2600,8.6615,0.0000
37,-27.2600,9.1615,0.0000
38,-27.2600,9.6615,0.0000
39,-27.2600,10.1615,0.0000
40,-27.2600,10.6615,0.0000
41,-27.2600,11.1615,0.0000
42,-27.2600,11.6615,0.0000
43,-27.2600,12.1615,0.0000
44,-27.2600,12.6615,0.0000
45,-27.2600,13.1615,0.0000
46,-27.2600,13.6615,0.0000
47,-27.2600,14.1615,0.0000
48,-27.2600,14.6615,0.0000
49,-27.2600,15.1615,0.0000
50,-27.2600,15.6615,0.0000
51,-27.2600,16.1615,0.0000
52,-27.2600,16.6615,0.0000
53,-27.2600,17.1615,0.0000
54,-26.7600,20.6615,0.0000
55,-26.7600,19.1615,0.0000
56,-26.7600,18.6615,0.0000
57,-26.7600,18.1615,0.0000
58,-26.7600,17.1615,0.0000
59,-26.7600,16.6615,0.0000
60,-26.7600,16.1615,0.0000
61,-26.7600,15.6615,0.0000
62,-26.7600,15.1615,0.0000
63,-26.7600,14.6615,0.0000
64,-26.7600,14.1615,0.0000
65,-26.7600,13.6615,0.0000
66,-26.7600,13.1615,0.0000
67,-26.7600,12.6615,0.0000
68,-26.7600,12.1615,0.0000
69,-26.7600,11.6615,0.0000
70,-26.7600,11.1615,0.0000
71,-26.7600,10.6615,0.0000
72,-26.7600,10.1615,0.0000
73,-26.7600,9.6615,0.0000
74,-26.7600,9.1615,0.0000
75,-26.7600,8.6615,0.0000
76,-26.2600,8.6615,0.0000
77,-26.2600,9.1615,0.0000
78,-26.2600,9.6615,0.0000
