idx,world_x,world_y,world_z
0,-269.0018,192.6175,0.0000
1,-269.0018,192.5675,0.0000
2,-269.0018,192.5175,0.0000
3,-269.0018,192.4675,0.0000
4,-269.0018,192.4175,0.0000
5,-269.0018,192.3675,0.0000
6,-269.0018,192.3175,0.0000
7,-269.0018,192.2675,0.0000
8,-269.0018,192.2175,0.0000
9,-269.0018,192.1675,0.0000
10,-269.0018,192.1175,0.0000
11,-269.0018,192.0675,0.0000
12,-269.0018,192.0175,0.0000
13,-269.0018,191.9675,0.0000
14,-269.0018,191.9175,0.0000
15,-269.0018,191.8675,0.0000
16,-269.0018,191.8175,0.0000
17,-269.0018,191.7675,0.0000
18,-269.0018,191.7175,0.0000
19,-269.0018,191.6675,0.0000
20,-269.0018,191.6175,0.0000
21,-269.0018,191.5675,0.0000
22,-269.0018,191.5175,0.0000
23,-269.0018,191.4675,0.0000
24,-269.0018,191.4175,0.0000
25,-269.0018,191.3675,0.0000
26,-269.0018,191.3175,0.0000
27,-269.0018,191.2675,0.0000
28,-269.0018,191.2175,0.0000
29,-269.0018,191.1675,0.0000
30,-269.0018,191.1175,0.0000
31,-269.0018,191.0675,0.0000
32,-269.0018,191.0175,0.0000
33,-269.0018,190.9675,0.0000
34,-269.0018,190.9175,0.0000
35,-269.0018,190.8675,0.0000
36,-269.0018,190.8175,0.0000
37,-269.0018,190.7675,0.0000
38,-269.0018,190.7175,0.0000
39,-269.0018,190.6675,0.0000
40,-269.0018,190.6175,0.0000
41,-269.0018,190.5675,0.0000
42,-269.0018,190.5175,0.0000
43,-269.0018,190.4675,0.0000
44,-269.0018,190.4175,0.0000
45,-269.0018,190.3675,0.0000
46,-269.0018,190.3175,0.0000
47,-269.0018,190.2675,0.0000
48,-269.0018,190.2175,0.0000
49,-269.0018,190.1675,0.0000
50,-269.0018,190.1175,0.0000
51,-269.0018,190.0675,0.0000
52,-269.0018,190.0175,0.0000
53,-269.0018,189.9675,0.0000
54,-269.0018,189.9175,0.0000
55,-269.0018,189.8675,0.0000
56,-269.0018,189.8175,0.0000
57,-269.0018,189.7675,0.0000
58,-269.0018,189.7175,0.0000
59,-269.0018,189.6675,0.0000
60,-269.0018,189.6175,0.0000
61,-269.0018,189.5675,0.0000
62,-269.0018,189.5175,0.0000
63,-269.0018,189.4675,0.0000
64,-269.0018,189.4175,0.0000
65,-269.0018,189.3675,0.0000
66,-269.0018,189.3175,0.0000
67,-269.0018,189.2675,0.0000
68,-269.0018,189.2175,0.0000
69,-269.0018,189.1675,0.0000
70,-269.0018,189.1175,0.0000
71,-269.0018,189.0675,0.0000
72,-269.0018,189.0175,0.0000
73,-269.0018,188.9675,0.0000
74,-269.0018,188.9175,0.0000
75,-269.0018,188.8675,0.0000
76,-269.0018,188.8175,0.0000
77,-269.0018,188.7675,0.0000
78,-269.0018,188.7175,0.0000
79,-269.0018,188.6675,0.0000
80,-269.0018,188.6175,0.0000
81,-269.0018,188.5675,0.0000
82,-269.0018,188.5175,0.0000
83,-269.0018,188.4675,0.0000
84,-269.0018,188.4175,0.0000
85,-269.0018,188.3675,0.0000
86,-269.0018,188.3175,0.0000
87,-269.0018,188.2675,0.0000
88,-269.0018,188.2175,0.0000
89,-269.0018,188.1675,0.0000
90,-269.0018,188.1175,0.0000
91,-269.0018,188.0675,0.0000
92,-269.0018,188.0175,0.0000
93,-269.0018,187.9675,0.0000
94,-269.0018,187.9175,0.0000
95,-269.0018,187.8675,0.0000
96,-269.0018,187.8010,0.0000
97,-269.0018,187.7510,0.0000
98,-269.0018,187.7010,0.0000
99,-269.0018,187.6510,0.0000
100,-269.0018,187.6010,0.0000
101,-269.0018,187.5510,0.0000
102,-269.0018,187.5010,0.0000
103,-269.0018,187.4510,0.0000
104,-269.0018,187.4010,0.0000
105,-269.0018,187.3510,0.0000
106,-269.0018,187.3010,0.0000
107,-269.0018,187.2510,0.0000
108,-269.0018,187.2010,0.0000
109,-269.0018,187.1510,0.0000
110,-269.0018,187.1010,0.0000
111,-269.0018,187.0510,0.0000
112,-269.0018,187.0010,0.0000
113,-269.0018,186.9510,0.0000
114,-269.0018,186.9010,0.0000
115,-269.0018,186.8510,0.0000
116,-269.0018,186.8010,0.0000
117,-269.0018,186.7510,0.0000
118,-269.0018,186.7010,0.0000
119,-269.0018,186.6510,0.0000
120,-269.0018,186.6010,0.0000
121,-269.0018,186.5510,0.0000
122,-269.0018,186.5010,0.0000
123,-269.0018,186.4510,0.0000
124,-269.0018,186.4010,0.0000
125,-269.0018,186.3510,0.0000
126,-269.0018,186.3010,0.0000
127,-269.0018,186.2510,0.0000
128,-269.0018,186.2010,0.0000
129,-269.0018,186.1510,0.0000
130,-269.0018,186.1010,0.0000
131,-269.0018,186.0510,0.0000
132,-269.0018,186.0010,0.0000
133,-269.0018,185.9510,0.0000
134,-269.0018,185.9010,0.0000
135,-269.0018,185.8510,0.0000
136,-269.0018,185.8010,0.0000
137,-269.0018,185.7510,0.0000
138,-269.0018,185.7010,0.0000
139,-269.0018,185.6510,0.0000
140,-269.0018,185.6010,0.0000
141,-269.0018,185.5188,0.0000
142,-269.0018,185.4688,0.0000
143,-269.0018,185.4188,0.0000
144,-269.0018,185.3688,0.0000
145,-269.0018,185.3188,0.0000
146,-269.0018,185.2688,0.0000
147,-269.0018,185.2188,0.0000
148,-269.0018,185.1688,0.0000
149,-269.0018,185.1188,0.0000
150,-269.0018,185.0688,0.0000
151,-269.0018,185.0188,0.0000
152,-269.0018,184.9688,0.0000
153,-269.0018,184.9188,0.0000
154,-269.0018,184.8688,0.0000
155,-269.0018,184.8188,0.0000
156,-269.0018,184.7688,0.0000
157,-269.0018,184.7188,0.0000
158,-269.0018,184.6688,0.0000
