idx,world_x,world_y,world_z
0,-221.0867,237.2622,0.0000
1,-221.0367,237.2622,0.0000
2,-220.9867,237.2622,0.0000
3,-220.9367,237.2622,0.0000
4,-220.8867,237.2622,0.0000
5,-220.8367,237.2622,0.0000
6,-220.7867,237.2622,0.0000
7,-220.7367,237.2622,0.0000
8,-220.6867,237.2622,0.0000
9,-220.6367,237.2622,0.0000
10,-220.5867,237.2622,0.0000
11,-220.5367,237.2622,0.0000
12,-220.4867,237.2622,0.0000
13,-220.4367,237.2622,0.0000
14,-220.3867,237.2622,0.0000
15,-220.3367,237.2622,0.0000
16,-220.2867,237.2622,0.0000
17,-220.2367,237.2622,0.0000
18,-220.1867,237.2622,0.0000
19,-220.1367,237.2622,0.0000
20,-220.0867,237.2622,0.0000
21,-220.0367,237.2622,0.0000
22,-219.9867,237.2622,0.0000
23,-219.9367,237.2622,0.0000
24,-219.8867,237.2622,0.0000
25,-219.8367,237.2622,0.0000
26,-219.7867,237.2622,0.0000
27,-219.7367,237.2622,0.0000
28,-219.6867,237.2622,0.0000
29,-219.6367,237.2622,0.0000
30,-219.5867,237.2622,0.0000
31,-219.5367,237.2622,0.0000
32,-219.4867,237.2622,0.0000
33,-219.4367,237.2622,0.0000
34,-219.3867,237.2622,0.0000
35,-219.3367,237.2622,0.0000
36,-219.2867,237.2622,0.0000
37,-219.2367,237.2622,0.0000
38,-219.1867,237.2622,0.0000
39,-219.1367,237.2622,0.0000
40,-219.0867,237.2622,0.0000
41,-219.0367,237.2622,0.0000
42,-218.9867,237.2622,0.0000
43,-218.9367,237.2622,0.0000
44,-218.8867,237.2622,0.0000
45,-218.8367,237.2622,0.0000
46,-218.7867,237.2622,0.0000
47,-218.7367,237.2622,0.0000
48,-218.6867,237.2622,0.0000
49,-218.6367,237.2622,0.0000
50,-218.5867,237.2622,0.0000
51,-218.5367,237.2622,0.0000
52,-218.4867,237.2622,0.0000
53,-218.4367,237.2622,0.0000
54,-218.3867,237.2622,0.0000
55,-218.3367,237.2622,0.0000
56,-218.2867,237.2622,0.0000
57,-218.2367,237.2622,0.0000
58,-218.1867,237.2622,0.0000
59,-218.1367,237.2622,0.0000
60,-218.0867,237.2622,0.0000
61,-218.0367,237.2622,0.0000
62,-217.9867,237.2622,0.0000
63,-217.9367,237.2622,0.0000
64,-217.8867,237.2622,0.0000
65,-217.8367,237.2622,0.0000
66,-217.7867,237.2622,0.0000
67,-217.7367,237.2622,0.0000
68,-217.6867,237.2622,0.0000
69,-217.6367,237.2622,0.0000
70,-217.5867,237.2622,0.0000
71,-217.5367,237.2622,0.0000
72,-217.4867,237.2622,0.0000
73,-217.4367,237.2622,0.0000
74,-217.3867,237.2622,0.0000
75,-217.3367,237.2622,0.0000
76,-217.2867,237.2622,0.0000
77,-217.2367,237.2622,0.0000
78,-217.1867,237.2622,0.0000
79,-217.1367,237.2622,0.0000
80,-217.0867,237.2622,0.0000
81,-217.0367,237.2622,0.0000
82,-216.9867,237.2622,0.0000
83,-216.9367,237.2622,0.0000
84,-216.8867,237.2622,0.0000
85,-216.8367,237.2622,0.0000
86,-216.7867,237.2622,0.0000
87,-216.7367,237.2622,0.0000
88,-216.6867,237.2622,0.0000
89,-216.6367,237.2622,0.0000
90,-216.5867,237.2622,0.0000
91,-216.5367,237.2622,0.0000
92,-216.4867,237.2622,0.0000
93,-216.4367,237.2622,0.0000
94,-216.3867,237.2622,0.0000
95,-216.3367,237.2622,0.0000
96,-216.2867,237.2622,0.0000
97,-216.2367,237.2622,0.0000
98,-216.1867,237.2622,0.0000
99,-216.1367,237.2622,0.0000
100,-216.0867,237.2622,0.0000
101,-216.0367,237.2622,0.0000
102,-215.9867,237.2622,0.0000
103,-215.9367,237.2622,0.0000
104,-215.8867,237.2622,0.0000
105,-215.8367,237.2622,0.0000
106,-215.7867,237.2622,0.0000
107,-215.7367,237.2622,0.0000
108,-215.6867,237.2622,0.0000
109,-215.6367,237.2622,0.0000
110,-215.5867,237.2622,0.0000
111,-215.5367,237.2622,0.0000
112,-215.4867,237.2622,0.0000
113,-215.4367,237.2622,0.0000
114,-215.3867,237.2622,0.0000
115,-215.3367,237.2622,0.0000
116,-215.2867,237.2622,0.0000
117,-215.2367,237.2622,0.0000
118,-215.1867,237.2622,0.0000
119,-215.1367,237.2622,0.0000
120,-215.0867,237.2622,0.0000
121,-215.0367,237.2622,0.0000
122,-214.9867,237.2622,0.0000
123,-214.9367,237.2622,0.0000
124,-214.8867,237.2622,0.0000
125,-214.8367,237.2622,0.0000
126,-214.7867,237.2622,0.0000
127,-214.7367,237.2622,0.0000
128,-214.6867,237.2622,0.0000
129,-214.6367,237.2622,0.0000
130,-214.5867,237.2622,0.0000
131,-214.5367,237.2622,0.0000
132,-214.4867,237.2622,0.0000
133,-214.4367,237.2622,0.0000
134,-214.3867,237.2622,0.0000
135,-214.3367,237.2622,0.0000
136,-214.2867,237.2622,0.0000
137,-214.2367,237.2622,0.0000
138,-214.1867,237.2622,0.0000
139,-214.1367,237.2622,0.0000
140,-214.0867,237.2622,0.0000
141,-214.0367,237.2622,0.0000
142,-213.9867,237.2622,0.0000
143,-213.9367,237.2622,0.0000
144,-213.8867,237.2622,0.0000
145,-213.8367,237.2622,0.0000
146,-213.7867,237.2622,0.0000
147,-213.7367,237.2622,0.0000
148,-213.6867,237.2622,0.0000
149,-213.6367,237.2622,0.0000
150,-213.5867,237.2622,0.0000
151,-213.5367,237.2622,0.0000
152,-213.4867,237.2622,0.0000
153,-213.4367,237.2622,0.0000
154,-213.3867,237.2622,0.0000
155,-213.3367,237.2622,0.0000
156,-213.2867,237.2622,0.0000
157,-213.2367,237.2622,0.0000
158,-213.1867,237.2622,0.0000
159,-213.1367,237.2622,0.0000
160,-213.0867,237.2622,0.0000
161,-213.0367,237.2622,0.0000
162,-212.9867,237.2622,0.0000
163,-212.9367,237.2622,0.0000
164,-212.8867,237.2622,0.0000
165,-212.8367,237.2622,0.0000
166,-212.7867,237.2622,0.0000
167,-212.7367,237.2622,0.0000
168,-212.6867,237.2622,0.0000
169,-212.6367,237.2622,0.0000
170,-212.5867,237.2622,0.0000
171,-212.5367,237.2622,0.0000
172,-212.4867,237.2622,0.0000
173,-212.4367,237.2622,0.0000
174,-212.3867,237.2622,0.0000
175,-212.3367,237.2622,0.0000
176,-212.2867,237.2622,0.0000
177,-212.2367,237.2622,0.0000
178,-212.1867,237.2622,0.0000
179,-212.1367,237.2622,0.0000
180,-212.0867,237.2622,0.0000
181,-212.0367,237.2622,0.0000
182,-211.9867,237.2622,0.0000
183,-211.9367,237.2622,0.0000
184,-211.8867,237.2622,0.0000
185,-211.8367,237.2622,0.0000
186,-211.7867,237.2622,0.0000
187,-211.7367,237.2622,0.0000
188,-211.6867,237.2622,0.0000
189,-211.6367,237.2622,0.0000
190,-211.5867,237.2622,0.0000
191,-211.5367,237.2622,0.0000
192,-211.4867,237.2622,0.0000
