idx,world_x,world_y,world_z
0,-289.8501,140.3648,0.0000
1,-289.8501,139.8648,0.0000
2,-289.8501,139.3648,0.0000
3,-289.8501,138.8648,0.0000
4,-289.8501,138.3648,0.0000
5,-289.8501,137.8648,0.0000
6,-289.8501,137.3648,0.0000
7,-289.8501,136.8648,0.0000
8,-289.8501,136.3648,0.0000
9,-289.8501,135.8648,0.0000
10,-289.8501,135.3648,0.0000
11,-289.8501,134.8648,0.0000
12,-289.8501,134.3648,0.0000
13,-289.8501,133.8648,0.0000
14,-289.8501,133.3648,0.0000
15,-289.8501,132.8648,0.0000
16,-289.8501,132.3648,0.0000
17,-289.8501,131.8648,0.0000
18,-289.8501,131.3648,0.0000
19,-289.8501,130.8648,0.0000
20,-289.8501,130.3648,0.0000
21,-289.8501,129.8648,0.0000
22,-289.8501,129.3648,0.0000
23,-289.8501,128.8648,0.0000
24,-289.8501,128.3648,0.0000
25,-289.8501,127.8648,0.0000
26,-289.8501,127.3648,0.0000
27,-289.8501,126.8648,0.0000
28,-289.8501,126.3648,0.0000
29,-289.8501,125.8648,0.0000
30,-289.8501,125.3648,0.0000
31,-289.8501,124.8648,0.0000
32,-289.8501,124.3648,0.0000
33,-289.8501,123.8648,0.0000
34,-289.8501,123.3648,0.0000
35,-289.8501,122.8648,0.0000
36,-289.8501,122.3648,0.0000
37,-289.8501,121.8648,0.0000
38,-289.8501,121.3648,0.0000
39,-289.8501,120.8648,0.0000
40,-289.8501,120.3648,0.0000
41,-289.8501,119.8648,0.0000
42,-289.8501,119.3648,0.0000
43,-289.8501,118.8648,0.0000
44,-289.8501,118.3648,0.0000
45,-289.8501,117.8648,0.0000
46,-289.8501,117.3648,0.0000
47,-289.8501,116.8648,0.0000
48,-289.8501,116.3648,0.0000
49,-289.8501,115.8648,0.0000
50,-289.8501,115.3648,0.0000
51,-289.8501,114.8648,0.0000
52,-289.8501,114.3648,0.0000
53,-289.8501,113.8648,0.0000
54,-289.8501,113.3648,0.0000
55,-289.8501,112.8648,0.0000
56,-289.8501,112.3648,0.0000
57,-289.8501,111.8648,0.0000
58,-289.8501,111.3648,0.0000
59,-289.8501,110.8648,0.0000
60,-289.8501,110.3648,0.0000
61,-289.8501,109.8648,0.0000
62,-289.8501,109.3648,0.0000
63,-289.8501,108.8648,0.0000
64,-289.8501,108.3648,0.0000
65,-289.8501,107.8648,0.0000
66,-289.8501,107.3648,0.0000
67,-289.8501,106.8648,0.0000
68,-289.8501,106.3648,0.0000
69,-289.8501,105.8648,0.0000
70,-289.8501,105.3648,0.0000
71,-289.8501,104.8648,0.0000
72,-289.8501,104.3648,0.0000
73,-289.8501,103.8648,0.0000
74,-289.8501,103.3648,0.0000
75,-289.3501,102.8648,0.0000
76,-289.3501,103.3648,0.0000
77,-289.3501,103.8648,0.0000
78,-289.3501,104.3648,0.0000
79,-289.3501,104.8648,0.0000
80,-289.3501,105.3648,0.0000
81,-289.3501,105.8648,0.0000
82,-289.3501,106.3648,0.0000
83,-289.3501,106.8648,0.0000
84,-289.3501,107.3648,0.0000
85,-289.3501,107.8648,0.0000
86,-289.3501,108.3648,0.0000
87,-289.3501,108.8648,0.0000
88,-289.3501,109.3648,0.0000
89,-289.3501,109.8648,0.0000
90,-289.3501,110.3648,0.0000
91,-289.3501,110.8648,0.0000
92,-289.3501,111.3648,0.0000
93,-289.3501,111.8648,0.0000
94,-289.3501,112.3648,0.0000
95,-289.3501,112.8648,0.0000
96,-289.3501,113.3648,0.0000
97,-289.3501,113.8648,0.0000
98,-289.3501,114.3648,0.0000
99,-289.3501,114.8648,0.0000
100,-289.3501,115.3648,0.0000
101,-289.3501,115.8648,0.0000
102,-289.3501,116.3648,0.0000
103,-289.3501,116.8648,0.0000
104,-289.3501,117.3648,0.0000
105,-289.3501,117.8648,0.0000
106,-289.3501,118.3648,0.0000
107,-289.3501,118.8648,0.0000
108,-289.3501,119.3648,0.0000
109,-289.3501,119.8648,0.0000
110,-289.3501,120.3648,0.0000
111,-289.3501,120.8648,0.0000
112,-289.3501,121.3648,0.0000
113,-289.3501,121.8648,0.0000
114,-289.3501,122.3648,0.0000
115,-289.3501,122.8648,0.0000
116,-289.3501,123.3648,0.0000
117,-289.3501,123.8648,0.0000
118,-289.3501,124.3648,0.0000
119,-289.3501,124.8648,0.0000
120,-289.3501,125.3648,0.0000
121,-289.3501,125.8648,0.0000
122,-289.3501,126.3648,0.0000
123,-289.3501,126.8648,0.0000
124,-289.3501,127.3648,0.0000
125,-289.3501,127.8648,0.0000
126,-289.3501,128.3648,0.0000
127,-289.3501,128.8648,0.0000
128,-289.3501,129.3648,0.0000
129,-289.3501,129.8648,0.0000
130,-289.3501,130.3648,0.0000
131,-289.3501,130.8648,0.0000
132,-289.3501,131.3648,0.0000
133,-289.3501,131.8648,0.0000
134,-289.3501,132.3648,0.0000
135,-289.3501,132.8648,0.0000
136,-289.3501,133.3648,0.0000
137,-289.3501,133.8648,0.0000
138,-289.3501,134.3648,0.0000
139,-289.3501,134.8648,0.0000
140,-289.3501,135.3648,0.0000
141,-289.3501,135.8648,0.0000
142,-289.3501,136.3648,0.0000
143,-289.3501,136.8648,0.0000
144,-289.3501,137.3648,0.0000
145,-289.3501,137.8648,0.0000
146,-289.3501,138.3648,0.0000
147,-289.3501,138.8648,0.0000
148,-289.3501,139.3648,0.0000
