idx,world_x,world_y,world_z
0,-28.2730,14.2812,0.0000
1,-28.2730,8.7646,0.0000
2,-26.7990,8.4833,0.0000
3,-26.7990,17.4464,0.0000
4,-26.7990,18.1553,0.0000
5,-26.7990,18.6443,0.0000
6,-26.7990,18.6877,0.0000
7,-26.7990,19.3542,0.0000
8,-25.3249,22.4306,0.0000
9,-25.3249,8.2464,0.0000
10,-23.8509,7.3883,0.0000
11,-23.8509,23.3023,0.0000
12,-22.3769,23.6588,0.0000
13,-22.3769,7.0182,0.0000
14,-20.9028,6.3542,0.0000
15,-20.9028,24.1009,0.0000
16,-19.4288,24.4115,0.0000
17,-19.4288,5.7900,0.0000
18,-17.9548,5.1120,0.0000
19,-17.9548,24.2758,0.0000
20,-16.4807,23.9678,0.0000
21,-16.4807,4.8281,0.0000
22,-15.0067,4.0144,0.0000
23,-15.0067,24.0565,0.0000
24,-13.5327,24.2784,0.0000
25,-13.5327,2.4908,0.0000
26,-12.0586,0.3904,0.0000
27,-12.0586,24.3928,0.0000
28,-10.5846,24.1453,0.0000
29,-10.5846,-1.9318,0.0000
30,-9.1106,-6.2505,0.0000
31,-9.1106,-4.6441,0.0000
32,-9.1106,-4.6089,0.0000
33,-9.1106,22.7653,0.0000
34,-7.6365,21.9516,0.0000
35,-7.6365,21.8579,0.0000
36,-7.6365,21.7741,0.0000
37,-7.6365,-7.8628,0.0000
38,-7.6365,-7.8678,0.0000
39,-7.6365,-8.5727,0.0000
40,-7.6365,-8.5776,0.0000
41,-7.6365,-8.7058,0.0000
42,-7.6365,-8.8882,0.0000
43,-7.6365,-9.0607,0.0000
44,-7.6365,-9.0657,0.0000
45,-7.6365,-9.4157,0.0000
46,-6.1625,-20.1327,0.0000
47,-6.1625,-17.1950,0.0000
48,-6.1625,-15.1097,0.0000
49,-6.1625,-14.6407,0.0000
50,-6.1625,-13.7787,0.0000
51,-6.1625,17.4998,0.0000
52,-4.6885,18.6050,0.0000
53,-4.6885,-20.1327,0.0000
54,-3.2144,-20.1327,0.0000
55,-3.2144,18.1321,0.0000
56,-1.7404,17.2769,0.0000
57,-1.7404,-20.1327,0.0000
58,-0.2664,-20.0062,0.0000
59,-0.2664,15.7977,0.0000
60,1.2077,14.0079,0.0000
61,1.2077,-20.0222,0.0000
62,2.6817,-19.6078,0.0000
63,2.6817,13.8891,0.0000
64,4.1557,13.4605,0.0000
65,4.1557,-19.4596,0.0000
66,5.6298,-19.6674,0.0000
67,5.6298,13.1651,0.0000
68,7.1038,13.3706,0.0000
69,7.1038,-18.4532,0.0000
70,7.1038,-18.5734,0.0000
71,7.1038,-18.8082,0.0000
72,8.5778,-17.5508,0.0000
73,8.5778,12.7344,0.0000
74,10.0519,12.5861,0.0000
75,10.0519,-17.4469,0.0000
76,11.5259,-17.3376,0.0000
77,11.5259,12.6154,0.0000
78,12.9999,12.6890,0.0000
79,12.9999,12.5752,0.0000
80,12.9999,12.5115,0.0000
81,12.9999,-17.3376,0.0000
82,14.4740,-17.2932,0.0000
83,14.4740,12.1415,0.0000
84,15.9480,11.6383,0.0000
85,15.9480,11.3277,0.0000
86,15.9480,11.0970,0.0000
87,15.9480,11.0615,0.0000
88,15.9480,10.0766,0.0000
89,15.9480,9.2780,0.0000
90,15.9480,9.2425,0.0000
91,15.9480,9.1893,0.0000
92,15.9480,8.7545,0.0000
93,15.9480,-15.9223,0.0000
94,17.4220,-13.9550,0.0000
95,17.4220,-0.3558,0.0000
96,18.8961,-1.6318,0.0000
97,18.8961,-12.7420,0.0000
